"chrom","all_pval","ACP267_pval","NotACP267_pval"
"GBGJ01000076",5.851089e-08,0.0001110768,6.581682e-08
"GBGJ01000123",2.657503e-05,0.0001773917,2.920395e-05
"GBGJ01000488",9.751515e-05,0.08609299,8.526761e-05
"GBGJ01000641",1.009743e-05,0.0005490614,8.305925e-06
"GBGJ01000698",0.00195746,2.356825e-08,0.0018888
"GBGJ01000722",6.359118e-08,0.09072408,3.777187e-08
"GBGJ01001048",4.330218e-06,0.07131171,4.494952e-06
"GBGJ01001188",0.0002746893,2.073433e-05,0.0002508355
"GBGJ01001287",0.00762882,2.603184e-12,0.00603423
"GBGJ01001288",0.03331206,7.154264e-15,0.03172643
"GBGJ01001691",0.000121716,6.328064e-06,9.916431e-05
"GBGJ01002971",0.07149661,2.546727e-06,0.07136213
"GBGJ01003095",8.510024e-11,0.003201873,7.950222e-11
"GBGJ01003661",0.008716821,4.080837e-46,0.007709871
"GBGJ01003892",2.727602e-10,0.01556662,3.436931e-10
"GBGJ01003899",0.3838543,5.127782e-07,0.3751474
"GBGJ01004274",1.540005e-07,0.06843676,1.734468e-07
"GBGJ01004277",9.871972e-06,0.00472918,7.385297e-06
"GBGJ01004596",0.07404637,1.271433e-51,0.04875075
"GBGJ01004743",1.571344e-06,0.09025759,1.144551e-06
"GBGJ01004976",1.276577e-06,0.001112296,9.33046e-07
"GBGJ01005439",4.597374e-06,0.003736018,6.209662e-06
"GBGJ01005788",3.015221e-06,9.028249e-06,3.066695e-06
"GBGJ01006046",4.521781e-06,2.817086e-07,4.468254e-06
"GBGJ01006729",4.553993e-07,0.008614597,4.3108e-07
"GBGJ01007208",2.236974e-06,0.01090086,1.857093e-06
"GBGJ01007909",6.841593e-07,0.002178978,8.725746e-07
"GBGJ01007985",0.0001251102,5.042019e-05,0.0001124532
"GBGJ01008938",0.09340933,9.911472e-11,0.09109807
"GBGJ01009076",1.709902e-11,0.01929418,1.972209e-11
"GBGJ01009250",3.527113e-05,0.06783126,4.348638e-05
"GBGJ01009442",1.088985e-07,0.02769255,1.088985e-07
"GBGJ01009640",0.1276944,8.458689e-06,0.1276944
"GBGJ01009728",3.343016e-05,0.1276944,3.997776e-05
